[20260731.013315.560-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=39,n=1,mode=s,dt=16210,acq=15722,wak=35,mrq=11,drq=71,upd=410,enu=13,rem=14,dmg=20,snd=38,tot=540,dr=1,mr=0,mrmax=0,area=546000,win=1,iwn=1,wev=1,sends=2,skip=0,log=72
[20260731.013315.575-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=40,n=1,mode=s,dt=15644,acq=15309,wak=32,mrq=10,drq=23,upd=526,enu=12,rem=13,dmg=17,snd=40,tot=639,dr=1,mr=0,mrmax=0,area=546000,win=1,iwn=1,wev=1,sends=2,skip=0,log=66
[20260731.013315.593-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=41,n=1,mode=s,dt=17473,acq=17125,wak=40,mrq=17,drq=24,upd=533,enu=10,rem=11,dmg=18,snd=38,tot=646,dr=1,mr=0,mrmax=0,area=545160,win=1,iwn=1,wev=1,sends=2,skip=0,log=72
[20260731.013315.606-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=42,n=1,mode=s,dt=13458,acq=13076,wak=31,mrq=34,drq=22,upd=354,enu=10,rem=13,dmg=20,snd=42,tot=473,dr=1,mr=0,mrmax=0,area=544320,win=1,iwn=1,wev=1,sends=2,skip=0,log=67
[20260731.013315.625-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=43,n=1,mode=s,dt=18486,acq=18100,wak=80,mrq=10,drq=27,upd=535,enu=15,rem=17,dmg=24,snd=49,tot=686,dr=1,mr=0,mrmax=0,area=544320,win=1,iwn=1,wev=1,sends=2,skip=0,log=62
[20260731.013315.639-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=44,n=1,mode=s,dt=14750,acq=14328,wak=39,mrq=11,drq=57,upd=559,enu=13,rem=12,dmg=18,snd=42,tot=677,dr=1,mr=0,mrmax=0,area=544127,win=1,iwn=1,wev=1,sends=2,skip=0,log=79
[20260731.013315.656-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=45,n=1,mode=s,dt=16565,acq=16138,wak=37,mrq=34,drq=37,upd=460,enu=10,rem=11,dmg=18,snd=43,tot=575,dr=1,mr=0,mrmax=0,area=543480,win=1,iwn=1,wev=1,sends=2,skip=0,log=61
[20260731.013315.670-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=46,n=1,mode=s,dt=14365,acq=13988,wak=32,mrq=9,drq=23,upd=5,enu=5,rem=5,dmg=18,snd=33,tot=97,dr=1,mr=0,mrmax=0,area=520,win=1,iwn=0,wev=0,sends=2,skip=0,log=91
[20260731.013315.692-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=47,n=1,mode=s,dt=21700,acq=21401,wak=27,mrq=12,drq=23,upd=514,enu=15,rem=14,dmg=26,snd=43,tot=651,dr=1,mr=0,mrmax=0,area=549746,win=1,iwn=2,wev=2,sends=2,skip=0,log=66
[20260731.013315.718-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=48,n=1,mode=s,dt=26140,acq=25754,wak=20,mrq=12,drq=29,upd=346,enu=9,rem=10,dmg=16,snd=38,tot=449,dr=1,mr=0,mrmax=0,area=543480,win=1,iwn=1,wev=1,sends=2,skip=0,log=61
[20260731.013315.766-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=49,n=1,mode=s,dt=48098,acq=47705,wak=24,mrq=16,drq=49,upd=1177,enu=44,rem=31,dmg=36,snd=69,tot=1398,dr=3,mr=0,mrmax=0,area=560447,win=1,iwn=3,wev=3,sends=4,skip=0,log=61
[20260731.013315.799-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=50,n=1,mode=s,dt=32979,acq=32407,wak=44,mrq=18,drq=36,upd=776,enu=19,rem=18,dmg=29,snd=53,tot=930,dr=3,mr=0,mrmax=0,area=554980,win=1,iwn=2,wev=2,sends=4,skip=0,log=71
[20260731.013315.831-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=51,n=1,mode=s,dt=32057,acq=31621,wak=43,mrq=16,drq=26,upd=824,enu=20,rem=21,dmg=29,snd=50,tot=989,dr=1,mr=0,mrmax=0,area=555246,win=1,iwn=2,wev=2,sends=2,skip=0,log=75
[20260731.013315.847-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=52,n=1,mode=s,dt=15895,acq=15481,wak=51,mrq=16,drq=39,upd=759,enu=17,rem=18,dmg=27,snd=54,tot=918,dr=1,mr=0,mrmax=0,area=546189,win=1,iwn=1,wev=1,sends=2,skip=0,log=60
[20260731.013315.863-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=53,n=1,mode=s,dt=15237,acq=14816,wak=34,mrq=12,drq=30,upd=322,enu=11,rem=11,dmg=17,snd=130,tot=523,dr=1,mr=0,mrmax=0,area=547028,win=1,iwn=1,wev=1,sends=2,skip=0,log=79
[20260731.013315.879-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=54,n=1,mode=s,dt=16813,acq=16355,wak=47,mrq=17,drq=36,upd=480,enu=10,rem=11,dmg=22,snd=44,tot=602,dr=1,mr=0,mrmax=0,area=547028,win=1,iwn=1,wev=1,sends=2,skip=0,log=66
