Microsoft Windows [Version 10.0.19044.1288]
(c) Microsoft Corporation. All rights reserved.

C:\Windows\system32>powershell -NoProfile -Command "$l=(Get-ChildItem 'C:\Program Files\Qubes Tools\log' -Filter 'gui-agent-*.log' | Sort LastWriteTime -Desc | Select -First 1).FullName; Get-Content $l | Select-String -Pattern 'QGAPERF|PHASE' | ForEach-Object { $_.Line }"
[20260731.000447.081-4000-I] PerfInit: QGAPERF on: freq=62500000 everyN=1 qpc_cost_ns=5284 default=1 (sink 89709485777039)
[20260731.000447.081-4000-I] PerfInit: QGAPERF-HEADER v=1 fields: seq,n,mode,dt,acq,wak,mrq,drq,upd,enu,rem,dmg,snd,tot,dr,mr,mrmax,area,win,sends,skip,log (times in microseconds)
[20260731.000524.139-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=32,n=1,mode=s,dt=62540,acq=26512,wak=18,mrq=19,drq=142,upd=1909,enu=39202,rem=4,dmg=17,snd=91,tot=41255,dr=2,mr=0,mrmax=0,area=570742,win=1,sends=4,skip=0,log=79
[20260731.000524.211-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=33,n=1,mode=s,dt=49470,acq=7674,wak=117,mrq=32,drq=41,upd=1239,enu=61796,rem=6,dmg=19,snd=121,tot=63218,dr=1,mr=0,mrmax=0,area=555611,win=1,sends=4,skip=0,log=65
[20260731.000524.270-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=34,n=1,mode=s,dt=76530,acq=12848,wak=27,mrq=15,drq=26,upd=287,enu=46092,rem=4,dmg=51,snd=126,tot=46593,dr=7,mr=0,mrmax=0,area=588078,win=1,sends=10,skip=0,log=252
[20260731.000524.340-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=35,n=1,mode=s,dt=51932,acq=4896,wak=24,mrq=15,drq=164,upd=792,enu=62922,rem=5,dmg=40,snd=115,tot=63907,dr=5,mr=0,mrmax=0,area=569724,win=1,sends=8,skip=0,log=68
[20260731.000524.462-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=36,n=1,mode=s,dt=75670,acq=11417,wak=19,mrq=36,drq=32,upd=630,enu=109221,rem=5,dmg=40,snd=133,tot=110061,dr=5,mr=0,mrmax=0,area=591472,win=1,sends=8,skip=0,log=68
[20260731.000524.509-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=37,n=1,mode=s,dt=125379,acq=14951,wak=46,mrq=69,drq=36,upd=269,enu=31469,rem=5,dmg=53,snd=131,tot=31959,dr=7,mr=0,mrmax=0,area=607157,win=1,sends=10,skip=0,log=71
[20260731.000524.554-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=38,n=1,mode=s,dt=33254,acq=839,wak=46,mrq=12,drq=74,upd=367,enu=42945,rem=5,dmg=34,snd=92,tot=44030,dr=3,mr=0,mrmax=0,area=553300,win=1,sends=6,skip=0,log=167
[20260731.000524.606-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=39,n=1,mode=s,dt=48434,acq=3885,wak=41,mrq=16,drq=34,upd=2506,enu=44080,rem=5,dmg=86,snd=187,tot=46900,dr=5,mr=0,mrmax=0,area=559567,win=1,sends=8,skip=0,log=81
[20260731.000524.709-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=40,n=1,mode=s,dt=57142,acq=9811,wak=92,mrq=30,drq=38,upd=2374,enu=90281,rem=11,dmg=40,snd=188,tot=92981,dr=3,mr=0,mrmax=0,area=557897,win=1,sends=4,skip=0,log=65
[20260731.000524.789-4000-I] PerfEmitFrame: QGAPERF,v=1,seq=41,n=1,mode=s,dt=105431,acq=11989,wak=53,mrq=19,drq=36,upd=328,enu=67676,rem=5,dmg=17,snd=86,tot=68141,dr=11,mr=0,mrmax=0,area=598277,win=1,sends=4,skip=0,log=116
